,rating,review
"('Gate of India', '71')",5.0,Rewelacja Bylam w tej restauracji ze znajomymi i kazdy z nas zamowil co innego. Bylismy zachwyceni. Nawet kolezanka ktora z natury jest malkontentka zachwycila sie daniem z kurczaka. Obsluga bardzo professionalna i pomocna. Kelner mial duzo cierpliwosci i wyrozumialosci. :) Bardzo dokladnie wytlumaczyl co kryje sie pod obco brzmiacymi nazwami. Bardzo polecam.
"('Gate of India', '72')",5.0,"Rewelacja! Cudowna kuchnia, pyszne jedzenie, przestronny lokal, obrotni mili kelnerzy a w szczególności przystojny Pan Tomek ;)"
"('Gate of India', '73')",5.0,"Bardzo miło i smacznie Zjadłam pyszny dal makhani oraz garlic naan, pyszne, świeże, warte polecenia. Nowa restauracja indyjska na mapie Krakowa, miła obsługa, pyszne jedzenie. Polecam"
"('Gate of India', '76')",5.0,Prawdziwy smak Indii Znakomite indyjskie jedzenie. Bardzo dobra jakość składników. Duży plus to pomocna obsługa i możliwość wybrania stopnia ostrości według skali 1-6. Każdy znajdzie coś dla siebie. Polecam zarówno dla smakoszy kuchni indyjskiej oraz osób które chca zasmakować w kuchni hinduskiej.
"('Gate of India', '77')",1.0,"Słaba obługa Smaczne jedzenie, ale obsługa lokalu na niskim poziomie. W momencie kiedy chciałam zamówić ryż do dania w sosie kadhai, kelner poinformował mnie, że jest on składnikiem dania, jednak na koniec musiałam osobno za niego zapłacić. Co więcej, na początku dostałam samego kurczaka w sosie, na ryż musiałam czekać kolejne 15 minut i dodatkowo się o niego upomnieć. Na pewno nie powtórzę wizyty w tym lokalu."
"('Gate of India', '8')",5.0,"Znakomite jedzenie, chicken Znakomite jedzenie, chicken chilli polecam!!!! Wystrój ok, obsługa ok, czysto, schludnie. Z pewnością wrócimy przy okazji "
"('Gate of India', '84')",5.0,"Pyszne, indyjskie jedzenie Spróbowaliśmy kilku różnych dań, wszystkie były smaczne. Porcje akurat żeby się najeść. Duży plus za to, że można wybrać stopień ostrości potrawy. Obsluga kelnerska miła, kompetentna. Samo miejsce wizualnie strasznie brzydkie, wystrój tragiczny, ale nie ma to na szczęście wpływu na smak, więc nie ma co się zrażać wystrojem. Niestety minus za to że ubrania bardzo przeszły zapachami z kuchni, chyba trzeba pomyśleć o wentylacji."
"('Gehanowska Pod Sloncem', '10')",3.0,"Niestety, to już nie to Klimat, wnętrza, atmosfera- rewelacja. Pierwszy raz- super, drugi raz-bardzo dobrze, trzeci raz-... hmmm..... to był ostatni raz, niestety :( Zamówiliśmy szaszłyk drobiowy- super, za drugim polędwiczki- b. dobre, ale bez szału, za trzecim razem szaszłyk wieprzowy- był niemal surowy, a ceny w pół roku poszły sporo w górę :("
"('Gehanowska Pod Sloncem', '18')",4.0,"OK Wizyta późnym wieczorem po namowie ""naganiacza"", lokal o przyjemnym, piwnicznym klimacie, obsługa w porządku. W miarę bogate menu - ceny nie straszą."
"('Gehanowska Pod Sloncem', '3')",5.0,"Słońce na krakowskim rynku Lokal ten  jest godny polecenia przede wszystkim za bardzo dobre menu oraz za atmosferę jaka tu panuje.
Sama lokalizacja jest też super siedząc w ogródku masz całą połowę rynku przed sobą."
"('Genji Premium Sushi', '1')",1.0,Spalone walentynki.  Bylismy w Walentynki 2020. Rezerwacja telefoniczna skończyła sie 30 min czekaniem na stolik. Po godzinie oczekiwania na realizacje zamówienia dowiedzialem sie ze trzeba czekac jeszcze godz. Masakra. Jak sie nie ma przerobu na obsługę wszystkich stolików to trzeba zmniejszyć lokal lub nie realizować zam na wynos! Zapłaciliśmy i wyszli do Hindusa na przeciwko. Sam lokal nie byl inwestowany od 10 lat minimalnie a w piwnicach traci stęchlizną. Kochani właściciele: trzeba wziasc sie do roboty bo w promieniu 200 m na Kazimierzu kilka świetnie wyglądających suszarni
"('Genji Premium Sushi', '10')",4.0,"Polecam Polecam, bardzo smaczne sushi, fajne sale, można w zaciszu rozkoszować się jedzeniem. Byliby 5 gwiazdek , ale zdarzyło nam się jednak pomylone zamówienie przez kelnerkę , która pochodzi z innego kraju - ewidentnie nie rozumiała zamówienia i przez to doszło do pomyłki zarówno na talerzu jak i na paragonie. Poza tym bardzo polecam, miła atmosfera i pyszne jedzenie."
"('Genji Premium Sushi', '11')",1.0,"Coraz gorsza obsługa dobre sushi, ale panie z obsługi wola obsługiwać tindera niż klientów. Mimo pustej sali i trzykrotnym dzwonieniu dzwonkiem nie doczekaliśmy się na kelnerkę stojąca przy ladzie z telefonem w ręku. Z każda kolejna wizyta kelnerki zniechęcają do przychodzenia ponownie."
"('Genji Premium Sushi', '13')",1.0,"Nie polecam Niestety ale muszę powiedzieć że strasznie się zawiedliśmy. Odwiedzaliśmy Genji już kilka lat i byliśmy bardzo zadowoleni aż do dziś. Po 50minutach oczekiwania zapytaliśmy Pani ile jeszcze potrwa przygotowanie na co dostaliśmy odpowiedz, że jeszcze 5min ponieważ jest tylko dwóch kucharzy a przygotowują też dania na wynos. Zrozumieliśmy do czasu kiedy dostaliśmy zamówienie i okazało sie,że jest całkowicie zimne, jakby prosto z lodówki... Chcieliśmy zapytać Pana kierownika czemu tak naprawdę tak długo czekaliśmy skoro wyjęcie gotowych rolek z lodówki chyba nie trwa aż tak dlugo, nie mówiąc już o tym że przychodząc do restauracji odzekiwalismy, że dostaniemy świeżo zrobione sushi jak w większości tego typu miejsc. Niestety ale usłyszeliśmy, że kierownika nie ma. Poprosiliśmy raz jeszcze z racji tego, że mieliśmy wrażenie, że przechodzi tuż obok i powiedzieliśmy o tym Pani kelnerce, poszła lecz już nie wróciła...
 To była nasza ostatnia wizyta w Genji i faktycznie zjedliśmy zamówione dania ale tylko dlatego, że tak długo czekaliśmy i byliśmy bardzo głodni  a szukanie innej restauracji to też dodatkowy czas..."
"('Genji Premium Sushi', '14')",5.0,"Smacznie i wygodnie Wizyta w Genji Sushi to była sama przyjemność. Nie było żadnego problemu z rezerwacją wygodnie wykonaną przez formularz internetowy, bez zbędnych telefonów. Wraz z dziewczyną otrzymaliśmy miejsce w pustej salce, do której wzywało się obsługę odpowiednim przyciskiem, tak więc było komfortowo i prywatnie. Wybór sushi był bardzo szeroki (w tym np. słodkie sushi, którego spróbowaliśmy na deser), a na wszelkie pytania odpowiadał miły Pan z obsługi. Jedzenie było świeże - szczerze mówiąc najlepsze sushi jakie jadłem, choć w wielu restauracjach nie byłem. Lokal klimatycznie urządzony, muzyka wprowadzająca orientalny nastrój. Ceny również wydają się ok."
"('Genji Premium Sushi', '16')",5.0,"Pysznie Jadłem w kilku restauracjach o tej tematyce ale nigdzie sushi nie smakowało tak dobrze. Zestawy cenowo wychodzą bardzo przystępnie, czasami trzeba trochę poczekać na zamówienie jeśli jest duże ale naprawdę warto ❤️"
"('Genji Premium Sushi', '17')",5.0,"świetne sushi bardzo duży wybór sushi, zestawy które można mieszać ( duży plus), ciekawy wystrój lokalu
i nastrojowa piwnica."
"('Genji Premium Sushi', '19')",5.0,"Pierwsze sushi w życiu Wczoraj miałyśmy okazję (4 osoby/2 dorosłych i 2 dzieci) zagościć w progach Genji Premium Sushi na ul. Św. Anny 5. Chciałybyśmy przede wszystkim pozdrowić Panią kelnerkę, która była przemiła i odpowiadała na każde nasze pytania, doradzała i instruowała ""co i jak"". Było to nasze pierwsze sushi w życiu, ale na pewno nie ostatnie, bo było przepyszne! Tak zwane niebo w gębie. Coś czego jeszcze nie doświadczyły nasze kubki smakowe. Na początek zamówiłyśmy Futomaki - Fresh, herbatę jaśminową oraz apple tempura. Po chwili domówiłyśmy kolejną gałkę lodów oraz California roll. Jedzenie zaczęłyśmy pałeczkami dla dzieci, a zakończyłyśmy ćwicząc tak jak się jeść powinno :D Planujemy już kolejną wycieczkę do Krakowa i na pewno zawitamy kolejny raz w progi  Genji Premium Sushi."
"('Genji Premium Sushi', '2')",1.0,"Niestety ostatni raz W dniu dzisiejszym pomimo rezerwacji na godzinę 21:00 dostaliśmy stolik dopiero po prawie 30 minutach oczekiwania. Szef rozdał rabaty w postaci 50 zł co miało załagodzić rozgoryczenie, jednak to dopiero początek... po 1h45min oczekiwania na nasze zamówienie na ponad 200 zł oświadczono nam przez przestraszone sytuacją kelnerki, że czas wydłużył się jeszcze o godzinę jednak mogą podać nam jako przystawkę gorące danie. Po zamówieniu gorącego Dania okazało się, że nasze zamówienie zostało anulowane w rezultacie zjedliśmy dopiero główne danie długo po 23:00. Dziękujemy bardzo, że zrujnowali państwo całkowicie walentynki stałym klientom."
"('Genji Premium Sushi', '22')",1.0,"Dramatyczna obsługa, smród  Najgorsza wizyta w restauracji w moim życiu. Czas oczekiwania 1:40 godz (informowano nas o polowe krótszym).
Obsługa Fatalna. Napoje po interwencji przynoszone po 25 minutach. Kelnerek brak, nawet przy barze. Brak reakcji na wezwania. W lokalu śmierdzi stęchlizną. Po awanturze dostaliśmy 10% nędznego rabatu ....
Jedna gwiazdka tylko za jedzenie, ale w porównaniu  do 77 -słabo ....
Życzę zamknięcia lokalu.
"
"('Genji Premium Sushi', '24')",5.0,"Przepyszne sushi Kilka dni temu podczas cudownego pobytu w Krakowie udaliśmy się na sushi do Genji. Jedzenie przepyszne, Fried softshell crab, japanese orgasm roll i rainbow roll były naprawde przepyszne. Świeże ryby i dobrej jakości dodatki. Polecam z całego serca."
"('Genji Premium Sushi', '25')",1.0,"w czołówce NAJGORSZYCH restauracji w Krakowie byłem na romantycznej kolacji z moją dziewczyną w Genji w zimny grudniowy dzień. Wystrój bardzo nam przypadł do gustu. Kelnerki były bardzo miłe, ale nie znały menu. Gorzej było z jedzeniem. Gdy po kilku kęsach zakwestionowaliśmy jego świeżość, powiedziano nam, że tak powinno pachnąć, smakować i wyglądąć. Szkoda tylko, że tej nocy obydwoje mieliśmy rozwolnienie wymioty, itd. Następnego dnia było jeszcze gorzej. Dopiero po kilku dniach doszliśmy do siebie. Ja przez wymuszoną dietę straciłem przy tym 5kg a było mi to potrzebne ;-) szkoda że przy tym tyle cierpienia. Właściciel był niedostępny, miał oddzwonić i nie oddzwonił!!!"
"('Genji Premium Sushi', '4')",1.0,"Zdecydowanie nie polecam Niestety po paru latach muszę zmienić swoją opinię. Dwie ostatnie wizyty to  totalna porażka - prawie rok temu wybraliśmy się w Walentynki rezerwując dwa tygodnie wcześniej, na miejscu zastała nas 40. minutowa kolejka ludzi z rezerwacji. Po odczekaniu i posadzeniu przy stoliku dowiedzieliśmy się od ludzi siedzących obok, że oczekują na zamówienie 1.5h, tak więc opuściliśmy lokal.
Drugi raz udaliśmy się do Genji w połowie listopada z nadzieją, że kolejka nie będzie problemem. Faktycznie, lokal był totalnie pusty jednak po 1.5 godziny oczekiwania jedzenia nadal nie dostaliśmy, Pani z obsługi stwierdziła że to za sprawą dużego ruchu (!). Jak się okazuje restauracja przedkłada zamówienia internetowe ponad klientów w lokalu (zaznaczam - lokal był pusty). Poprosiliśmy o rozmowę z menedżerem, którego akurat nie było. W ramach rekompensaty zaproponowano nam jeden deser do podziału na 3 osoby, a potem zniżkę 20%, którą Pani kelnerka z celowością naliczyła nam na najtańszą pozycję z naszego zamówienia. Jedzenie było przyzwoite natomiast organizacja i obsługa na skandalicznie niskim poziomie po raz kolejny, dodatkowo w restauracji unosi się nieprzyjemnie stęchły zapach. Od restauracji ze słowem Premium w nazwie oczekiwałbym o wiele więcej."
"('Genji Premium Sushi', '5')",2.0,"Jak zwykle Jak zwykle zamiast paragonu dostaje jakiś świstek. Nie wiem z czego się bierze taka praktyka, ale to nie jest normalne. A z plusów to bardzo dobre sushi"
"('Genji Premium Sushi', '8')",5.0,Dobre Jak zwykle genji nas nie rozaczrowalo. Wszystko świeże i pachnące. Polecam tą restauracje każdemu z czystym sumieniem. Ceny przystępne. 
"('Genji Premium Sushi', '9')",3.0,"""Zebów nie mają?!"" Bylismy dzisiaj w Genji na imieninowym obiedzie naszej corki.Przekonalismy ja, zeby tym razem isc do Genji, bo w niej zaczynalismy nasze przygody z krakowskim sushi. Niestety szybko okazalo sie to zla decyzja. Na czekadelko dostalismy salate (kiedys serwowali przepyszna salatke z rzodkwi), potem podano nam salatke z wodorostow, ktora byla pokrojona w zbyt duze platy (jeden mial np ok 3 cm szerokosci). Corka nieomal sie nimi zadlawila, gdyz trudno sie je jadlo. Ja zamowilam makaron sojowy z wolowina. Chyba wchlonal caly sos, bo byl dosyc suchy i gumowaty. Nie specjalnie mi smakowal. Kiedy wychodzilismy, uslyszelismy jak kelnerka przekazuje nasza uwage na temat salatki z wodorostow na kuchni, a tam padla odpowiedz: ""Zebow nie maja? nie maja czym gryzc?"". Zdecydowanie byl to nasz ostatni raz w tym lokalu :("
"('Glonojad', '1')",2.0,"Gorycz i rozczarowanie Z polecenia znajomych wybrałem się do baru „Glonojad” (do standardów restauracji dużo brakuje) gdzie zamówiłem curry z bakłażanem. Po rzuceniu talerzem z ową potrawa przez kelnerkę przystąpiłem do konsumpcji z lekkim niesmakiem. Jakież było moje rozczarowanie gdy spróbowałem twardej kaszy oraz „surówki” z metalicznym posmakiem, jak sądzę zakupionej w supermarkecie. Natomiast samo  curry z bakłażanem bylo smaczne."
"('Glonojad', '15')",5.0,"Bardzo przyjemny poranek Świetny klimat, dobre jedzenie o niskich cenach, jesteśmy bardzo zadowolone z wizyty. Miła obsługa, darmowe WiFi, idea samoobsługi bardzo trafiona."
"('Glonojad', '19')",5.0,"Super jedzenie w dobrej bardzo cenie Super weganskie jedzenie, w dobrych cenach-do około 20 złotych, można się najeść, nasyci polecam to miejsce!"
"('Glonojad', '2')",2.0,"Coś obrzydliwego... Żeby być uczciwym to przyznaję, że sama restauracja, lokalizacja i obsługa wypadają dobrze, plus posiłki osób przy sąsiednich stolikach prezentowały się znacznie bardziej apetycznie, ALE to co dostałyśmy z siostrą przeszło moje najśmielsze oczekiwania, na minus oczywiście. Pierwsze danie, zupa jeszcze ujdzie, chociaż podana zimna, natomiast drugie danie to coś z kategorii, co gotujecie sobie sami, kiedy robicie porządek w lodówce. Wege gołąbki, bo to zamówiłam też chłodnawe, względnie dały się zjeść, ale sposób podania woła o pomstę do nieba. Gołąbki są serwowane z sosem, puree i burakami -- zmiana nazwy dania na 4 mamałygi bardziej oddałaby to czym są. Za to tacos mojej siostry zupełna porażka, ciasto rozmoknięte, guacamole jakby nieświeże, dobór składników rzodkiewka i pomidor, które notabene też chwile sobie poleżały w lodówce, też niezbyt szczęśliwy. Całość wyglądała i smakowała jakby ktoś przygotował to w sobotę rano, nadmienię, że ja byłam w Glonojadzie w niedzielne popołudnie. Serwowane dania mają raczej barowy charakter, z ich ""smacznością"" nie było najlepiej, a posiłek wcale do najtańszych nie należał.
Może Glonojad nie truje ludzi, ale to co miałam okazję tam zjeść sprawiło, że zdecydowanie nie wrócę do tego lokalu."
"('Glonojad', '24')",5.0,"Pysznie! Czekaliśmy trochę na wolne miejsce, ale było warto, bardzo przystępnie cenowo, wszystko smaczne i w dobrych porcjach. Wybór potraw jest tak duży że nie wiadomo co wziąć. Polecam cieplutko!"
"('Glonojad', '28')",3.0,"To już nie to samo.. Wraz z dziewczyną często odwiedzamy to miejsce. Niestety ostatnio zauważyliśmy pogorszenie jakości wydawanych potraw. Składników jest coraz mniej, napoje były niesmaczne... Mamy nadzieję, że ulegnie to poprawie 😉"
"('Glonojad', '3')",5.0,"Nie prześladują mięsożerców Szukaliśmy miejsca na śniadanie dla 5 facetów, z których jeden jest vege. Długo nie mogliśmy niczego znaleźć dla kolegi nie-mięsnego, więc w glonojadzie najpierw on akceptował menu. Jak się okazało, każdy z nas był finalnie bardzo zadowolony. Jedzenie bardzo dobre, podane w miły sposób, miejsce do siedzenia w środku i na zewnątrz przyjemne. Nie ma do czego się przyczepić ;-) ... a lemoniadę mają wyśmienitą!"
"('Glonojad', '33')",4.0,"Placuszki warzywne  Restauracja  samoobsługowa przez co zamieszanie przy barze choć wszystko idzie sprawnie  to czuć chaos w powietrzu.  Spory ruch - ceny oscylują w granicach 20 zł za danie np placuszki warzywne, plus do wyboru kasza lub ryż i dwa rodzaje sałatek. Można się najeść . Na minus należy zaliczyć lurowata kawę.  Jeśli jesteś kawoszem  lepiej kup wodę:) rozczarowała mnie kasza do dania nikt nie informuje jaka kaszę dostaniesz w tym przypadku była to kasza gryczana ale z przyprawami które nie przypadły  mi do gustu. Ale ponoć o gustach się nie dyskutuje.  Pozdrawiam."
"('Glonojad', '34')",5.0,"Przepyszne vege jedzenie w dobrej cenie Nie wyobrażam sobie już teraz wizyty w Krakowie bez zjedzenia glonojadowego obiadu :-) Szczególnie opłacalne są zestawy dnia (zupa, 2 danie i deser za 18 zł)."
"('Glonojad', '36')",5.0,"Pyszne jedzonko  Pyszne jedzonko, mój chłop wziął curry i bardzo mu smakowało, ja wzięłam lasagne i porcja była tak uczciwa, ze aż całej nie zmieściłam i jak poprosiłam pana z obsługi o pudełeczko to dostałam takie fajne eko papierowe, ceny tez spoko "
"('Glonojad', '39')",5.0,"Klimatycznie i miło Urocze miejsce z dobrą muzyką i idealnym klimatem na śniadanie. Jedzenie bardzo dobre, kawa jeszcze lepsza. Zdecydowanie dobra opcja wegetariańska! "
"('Glonojad', '41')",5.0,"super są ciasta, napoje, dobra kawa, idealnie przyrządzona i dobre jedzenie. dodajcie troszkę więcej opcji wgeańskich w daniach dnia :)"
"('Glonojad', '44')",5.0,"Bardzo smaczne i zdrowe Jestesmy rodzina ktora lubi zdrowe i smaczne jedzenie.  Tu jedzenie jest super zdrowe, smaczne i oryginalne."
"('Glonojad', '46')",5.0,"Super! Pyszna lasagne, pierogi z soczewicą i burito. Obsługa przemiła, świetny angielski. Serwują dania bezglutenowe i wegetariańskie:) Zdecydowanie warto odwiedzić. Posiłki są tak pyszne, że często niektórych nie ma już o 17. Do większości dań serwowane są 2 sałatki, jedne z lepszych ktore jadłam. Zdecydowanie polecam!!"
"('Glonojad', '48')",5.0,"Tasty food near Barbakan! Bardzo przyjazna atmosfera! Polecam pierogi (ruskie - majstersztyk!) i placki ziemniaczane (chociaż chyba nie są w stałej ofercie). Zupy dnia - pycha! Dodatkowo surówki do większości dań i możliwość zamiany np. ryżu na kaszę etc. Szkoda tylko, że tzw. dania dnia się tak szybko wyprzedają, ale to raczej znak, że są wyśmienite więc się nie dziwię, że w mig znikają. Dodatkowy plus za eko opakowania na wynos. Serdecznie polecam - miejsce w samym centrum, a ceny przystępne! Lubię tu powracać."
"('Glonojad', '50')",4.0,"Ciekawe miejsce Samo miejsce ciekawe, serwujące dania wegetariańskie. Ogólnie dobra i w dobrej cenie, choć burito, które zamówiłam mnie nie urzekło. Podczas ostatniej  mojej wizyty w lokalu panował lekki chaos ze strony obsługi - może to kwestia nowego zespołu. Oprócz tego miłe miejsce do zjedzenia lunchu czy obiadu, które mogę polecić.
Jolanta"
"('Glonojad', '52')",5.0,Najlepsze wege jedze Cudowne ciasto kremowe nie za słodkie. Obiady bardzo warzywne i prze pyyyyszne. Kawa aromatyczna. Sałatki bardzo bardzo świeże
"('Glonojad', '57')",5.0,Super  Genialne pierogi z soczewicą!!! Supermiła obsługa i fajna atmosfera lokalu. Wizyta zdecydowanie do powtórki przy najbliższym wypadzie do Krakowa 
"('Glonojad', '65')",5.0,"Dobre śniadanko Zamówiłam zawijańca z jajkami, ostrym sosem i serem. Do tego surówka i kawa cappuccino. Danie za 12 zł, kawa 7,5 zł. Smacznie i dość zdrowo. Bardzo przyjemnie na ogórku i w środku. Czysto. Dużo miejsc. Blisko bramy Floriańskiej. Polecam."
"('Glonojad', '67')",4.0,"Bardzo sympatyczne miejsce Klimat panujący w tym miejscu można określić jako sympatyczny. Duże drewniane stoły, bezpośrednia i miła obsługa. Trochę miałam uczucie jakbym była w górskim schronisku. Plus za ogródek. Spodziewałam się po opisach dużo niższych cen, natomiast dania oscylowały w granicach 20 złotych. Zamówiłam kofty serowe i wybrałam do tego dwie surówki- jedną z selera naciowego z orzechami a drugą z kalarepą i owocami. Obydwie przepyszne. Kofty smaczne natomiast towarzysząca im kasza nudna. Chętnie wrócę spróbować innych dań."
"('Glonojad', '69')",3.0,Ok Lokal dla mało wymagających wegetarian. O godz. 17 niestety mały wybór. Naleśniki bardzo smaczne. Kotlety warzywne godne polecenia. Bardzo miła obsługa 
"('Glonojad', '7')",1.0,"Obsługa bezczelna!! Bylysmy wczoraj z siostrą na chwilę w glonojadzie około godziny 20-21. Weszłyśmy, wybieraliśmy ciasta. Pani z obsługi tylko się na nas dziwnie patrzyła. Złożyłyśmy zamówienie, podeszłyśmy do jedynego wolnego stolika, na którym leżały dwie niedojedzone porcje jedzenia. Widać, ze stało to już tam jakiś czas, wyglądało to obrzydliwie, mimo to usiadłyśmy z nadzieja ze zaraz ktoś podejdzie i to zabierze. Po jakichś 20 minutach panie wybrały się na obchód wokół sali. Podeszły w stronę naszego stolika, na innych stołach (chyba trzech) również stały brudne naczynia! Stoliki stały tak około 15 minut - nasz był brudny dobre 45. I teraz jest najlepsze - dziewczyny zaczęły się przy gościach śmiać ile to maja do posprzątania, zaczęły głupkowato chichotać. Biedne, naprawdę to było bardzo słabe zachowanie, mówić tak przy gościach. Jedna z nich popatrzyła na mnie i siostrę z pogardą i NIE ZABRAŁA STOJĄCYCH TAM PONAD 45 min brudnych, obrzydliwych naczyń. jeszcze się lekko zaśmiała. Ja rozumiem, ze to jest lokal samoobsługowy ale czy do tego stopnia ze goście musza sprzątać sami stoliki po poprzednich? Nie rozumiem. O tej porze lokal nie był już aż tak bardzo zatłoczony. Całe towarzystwo cały czas siedziało sobie przy barze, śmiejąc się i przeklinając w najlepsze. Potem przesiadłyśmy się do innego stolika, który został posprzątany. Nasz stolik stał z garami nawet wtedy. Księżniczki chyba czekały jak sobie same odniesiemy te brudne naczynia. Rozumiem ze można być zajętym, może być ruch. Rozumiem jakby dziewczyny nie zauważyły, ale nigdy nie zrozumiem jednego - chamstwa i bycia bezczelnym."
"('Glonojad', '75')",5.0,"Tytuł musi być  Ten lokal na prawdę tworzą ludzie Pani Martinka, Magda, Patrycja, Paula, Gaba i Panowie Filip i Wiktor! Dobre jedzenie i bardzo pyszne desery. Polecam :) "
"('Glonojad', '87')",5.0,"Pyszne jedzenie w dobrej cenie :) Polecam wszystkim tą restaurację, bardzo dobra lasagna ,duża porcja, cieplutka, dobrze doprawiona.  Sałatki zawsze świeże, naprawdę warto tu zajrzeć :)"
"('Glonojad', '89')",4.0,"Smacznie, mniam Duże porcje, smaczne pierogi z soczewicą, dla roślinożerców raj.  soki wyciskane z warzyw i owoców Samoobsługa. Ogólnie - klimatyczne miejsce"
"('Glonojad', '96')",4.0,"Smacznie,ceny ok, dobre porcje Świetna lokalizacja i przestronne wnętrze. Dużo miejsca ale nikt nikomu nie przeszkadza nawet przy pełnej sali. Dania do 20 zł i porcje obiadowe. Ciekawe smaki i opcje dla veganów i bezglutenowców też. Podoba mi się opcja biodegradalnych opakowań na wynos. Polecam!"
"('GoScinna Chata', '0')",5.0,"Rewelacja! Pelen profesjonalizm w kazdym calu, poczawszy od obslugi kelnerskiej, poprzez niesamowitego Szefa Kuchni z talentem nie tylko kulinarnym, ale i estetycznym, po kadre menagerska. Obsluga na najwyzszym poziomie, indywidualne podejscie do klienta oraz dostosowanie sie do wielu, rowniez nadprogramowych oczekiwan klienta, a wszystko to w kulturalnej i milej atmosferze.
Ogranizowalam juz drugie przyjecie w tym miejscu i uwazam, ze dobre miejsca tworza dobrzy ludzie z pasja - tu wlasnie tak jest. Polecam!"
"('GoScinna Chata', '100')",5.0,"Zawsze dobrze Od czasu do czasu odwiedzam Gościnną chatę, dania za każdym razem mnie zachwycają. Sympatyczni i pomocni kelnerzy na początek podają pajdę chleba z smalcem i serkiem. 
Jako danie główne mogę polecić pierogi i placki ziemniaczane, jako deser polecam naleśniczki z jabłkiem - doskonałe! Ceny są naprawdę przystępne. Atmosfera wyjątkowa, wspaniała dla turystów."
"('GoScinna Chata', '11')",3.0,"Ciekawie ale... Miejsce podczas mojego pobytu zimne na tyle że gorąca herbata stygnie w chwilę. Obsługa bardzo miła i pomocna. Na każde wezwanie, udziela rzetelnych informacji o potrawach a jak czegoś nie wie, wpada na pomysł aby zapytać szefa kuchni. Miły akcent powitalny w postaci smalczyku chleba i twarożku. Żurek w chlebie porcja mała biorąc pod uwagę że chleb chłonie swoje zrobił się bardzo gęsty kisiel. Pierogi z mięsem bardzo dobre ale polane zimnym tłuszczem co spowodowało że były odczuwalne przez resztę dnia odbijając się. Tatar wspaniały i placek po węgiersku również godny polecenia."
"('GoScinna Chata', '111')",4.0,Przyjemny wieczór po podróży Po przyjeździe do Krakowa o niezbyt miłych wrażeniach z zarezerwowanego apartamentu który oprócz wind nie miał żadnych innych udogodnień dla osób na wozku a taka osoba jestem poszliśmy coś zjeść.bardzo miła i pomocna obsługa kelnerska pyszna przystawka chlebek ze smalcem i  drugi z serkiem moje danie główne czyli placki ziemniaczane  maz ze swojej ryby tez zadowolony. Sympatyczny odstresowujacy wieczór
"('GoScinna Chata', '113')",5.0,"Właśnie pierogi! De gustibus non disputantum est. W tzw. biegu odwiedziłem Gościnną zaproszony do środka smacznym zapachem . Zamówiłem mix pierogowy i absolutnie się nie zawiodłem. Oczywiście,że najlepsze są u Mamy:) Ale te pochłonąłem w kilka przyjemnych dla podniebienia chwil. Dodatkowo muszę pochwalić chyba Panią Wiktorię? Za sympatyczną i profesjonalnie udzielaną obsługę. Dziękuje i polecam wszystkim głodnym maszerującym ul. Sławkowską. P.Sułek."
"('GoScinna Chata', '134')",4.0,"Mila obsluga Wybor dan bardzo duzy, podaja bardzo szybko. Mialam wrazenie ze stalo to wszystko troche za dlugo na zapleczu."
"('GoScinna Chata', '16')",5.0,"Alternatywa wyrasta na groźnego konkurenta To nie jest kolejna restauracja z ogólnopolskiej sieci 'tradycyjnych', 'staropolskich' czy innych 'chłopskich', choć może być tak przez wielu postrzegana. Nie zobaczycie tu jednak masówki czy pośpiechu ani nie posmakujecie jej na talerzu.
Byliśmy grupą 7 osobową i spędziliśmy w Gościnnej Chacie 3h. Obsługa świetnie dostosowywała się do tempa jakiego oczekiwali goście przy różnych stolikach. Dania wyjeżdżały z kuchni dokładnie w takim porządku o jaki prosiliśmy (ultra głodne dzieci i spóźniający się dorośli), a ich jakość - jak z manufaktury. Kartacze, pierogi i schab - to mogę spokojnie zarekomendować. Nie powiem ile zapłaciliśmy, bo każdy odgadnie ile piwa wypiliśmy ;-)"
"('GoScinna Chata', '163')",4.0,"Gościnnie , regionalnie i smacznie Łemkowska restauracja z odpowiednim wnętrzem i ,jak nazwa wskazuje, z dużą gościnnością.Bardzo miła i szybka obsługa serdecznego kelnera.Dania kuchni łemkowskiej godne polecenia.Barszczyk z drożdzowym pierogiem nadziewanym kapustą i grzybami pyszny.Kartacze -palce lizać.W porze lunchu można zjeść cały obiad z deserem w bardzo przystępnej cenie.Polecam!"
"('GoScinna Chata', '164')",4.0,"Bardzo dobra kuchnia. Jedzenie bardzo dobre. Duże porcje. Głównie dania mięsne. Ceny w granicach normy, jeśli chodzi o miasto. Bardzo miła i pomocna obsługa."
"('GoScinna Chata', '170')",3.0,"Całkiem ok Jedzenie dość smaczne, wystrój wnętrza ładny. Jedna z pań opowiedziała nam historię, że 4 lata temu był tu Justin Timberlake z rodziną i mu smakowało. "
"('GoScinna Chata', '37')",5.0,"Bardzo ciekawe miejsce Bardzo nam się podobało w Gościnnej Chacie....atmosfera naprawdę wyjątkowa.
Smaczne jedzenie i super obsługa 
Polecamy i na pewno wrócimy"
